应用名称,任务,SR,前缀长度,答案长度,ACP,OSR,最后执行的Path长度,SPL,备注
,turn off always use same snooze time,1,2,2,1,0,30,,
,Do not prevent the phone from entering sleep mode when the application is running in the foreground,1,2,2,1,0,30,,
,,,,,#DIV/0!,,,,
Contacts,"Create a new contact Stephen Bob, mobile number 12345678900",0,2,4,0.5,0,30,,
,Change theme color to light,0,8,9,0.888888889,0,30,,
,Open dialpad and call 911,0,0,3,0,0,30,,
,Open Bob's information page and call him,1,2,2,1,0,30,,
,Send a text message to Bob with the following content:'Goodmorning',0,0,4,0,0,30,,
,Add contact Bob to Favorites,1,2,2,1,0,30,,
,Export contacts to a .vcf file 'classmate.vcf'',0,4,5,0.8,0,32,,
,Change Bob's mobile number from '222222' to '12345678900',0,4,5,0.8,0,32,,
,Change the font size of the Contacts app to medium,1,4,4,1,0,30,,
,"Sort contacts based on ""Date created"" in descending order",0,2,4,0.5,0,30,,
,Delete contact Bob,1,3,3,1,0,31,,
,"Create a new group 'Classmates',add Alice,Bob and Jack to the new group, and text to the group 'GatheringInTheOldPlace'",0,2,8,0.25,0,36,,
,show phone numbers in the list view,0,0,5,0,0,30,,
,Disable showing the dial pad button on the main screen,0,2,3,0.666666667,0,30,,
,,,,,,,,,
Dialer,"create a new contact John Smith, moblie number 12345678900",0,3,6,0.5,0,36,,
,search contact Alice and check her info,1,5,5,1,0,32,,
,add contact Alice to favorites,1,4,4,1,0,30,,
,Modify Alice's mobile number to 1234567890 and save it,0,4,5,0.8,0,30,,多输入了一次电话
, Sort contacts by first name,0,3,3,1,0,30,,中间插入别的事件，最后效果不对。
,call Alice,1,1,1,1,0,30,,
,view favorite contacts,1,1,1,1,0,30,,
,search call history with Bob,1,5,5,1,0,30,,
,adjust font size to medium,0,2,5,0.4,0,30,,
,turn on hide dialpad numbers,1,3,3,1,0,30,,
, call 911,1,4,4,1,0,30,,
,text Alice that I-love-you,0,5,5,1,0,43,,中间插入别的事件，最后发送文本不对。
,delete all call history,1,3,3,1,0,30,,
,delete contact Jack,1,6,6,1,0,39,,
,Switch custom colors to light and save it,0,0,6,0,0,30,,
,,,,,,,,,
filemanager,go to the 'recent' tab and open the test1.m4a,1,1,1,1,0,30,,
,sort the folders by size,0,0,3,0,0,30,,
,sort the folers by last modified in descending order,0,0,3,0,0,30,,
,change the storage type to sd card,1,2,2,1,0,30,,
,"open 'android' folder, sort the files by extension",0,0,4,0,0,30,,
,change the view type to grid,0,0,4,0,0,30,,
,temporarily show hidden files,1,3,3,1,0,30,,
,change the theme to light,0,8,9,0.888888889,0,30,,
,add 'alarms' as favorite,0,1,3,0.333333333,0,30,,
,disable showing the 'recents' tabs,1,4,4,1,0,30,,
,change font size of the File manager app to large,0,0,3,0,0,30,,
, change pressing 'back' from twice to once to leave the app,1,3,3,1,0,30,,
,go to recents and play video2.mp4,0,1,3,0.333333333,0,30,,
,check the total storage of my phone,1,1,1,1,0,30,,
,go to 'download' folder and open Diary.pdf,0,2,3,0.666666667,0,30,,
,"open screen_2023-06-30_141247.png with gallery, Always open with gallery",0,1,3,0.333333333,0,30,,
,,,,,#DIV/0!,,,,
gallery, Open DCIM folder in gallery app,1,1,1,1,0,32,,
,Sort folders in the Gallery app by name in descending order,0,4,5,0.8,0,30,,
,Show all contents in all folders within the gallery app,1,2,2,1,0,32,,
,Search for the DCIM folder in gallery app and open it,0,3,4,0.75,0,36,,不懂为什么input不进去
,Do not display GIF images in the Gallery app,1,4,4,1,0,33,,
,Change the display mode from grid to list in the Gallery app,0,3,4,0.75,0,30,,
,Display five images per row in the Gallery app,0,0,5,0,0,30,,
,"create a folder and name it 'traveling_photos' in the 'DCIM' folder, the folder path is 'Internal/DCIM/'",1,7,7,1,0,33,,
,Restore the video to its previous playback position the next time it is opened,0,0,3,0,0,30,,
,,,,,#DIV/0!,,,,
Messager,find messages with Alice,1,1,1,1,0,30,,
," Send a text message ""Morning"" to Alice",1,4,4,1,0,30,,
,Export all messages to 'Messages_2023_07_01_11_04_43.json',0,1,4,0.25,0,30,,
,Mark the chat with Bob as Unread,0,1,3,0.333333333,0,30,,mark错人了
,change the name of the chat with Alice to 'team_discussion',0,3,5,0.6,0,30,,change错人了
,call Alice,1,3,3,1,0,30,,
,show a character counter at writing messages,0,0,3,0,0,30,,
,view messages with Bob,1,1,1,1,0,30,,
,adjust font size to medium,1,3,3,1,0,30,,
, Remove accents and diacritics at sending messages,1,2,2,1,0,30,,
,Send message by pressing Enter,,,,#DIV/0!,,,,暂时不支持
,Enable delivery reports,0,1,2,0.5,0,30,,
,Delete and Bob's message records,0,2,3,0.666666667,0,30,,没点OK
,Send long messages as MMS,0,0,2,0,0,30,,
,Switch custom colors to light and save it,0,8,9,0.888888889,0,30,,没点OK
,,,,,#DIV/0!,,,,
MusicPlayer,change the theme of the Music player app to light and save it,0,7,8,0.875,0,30,,
,set the sleep timer for five minutes,1,3,3,1,0,30,,
,check the 'Recordings' in the Folders,1,1,1,1,0,30,,
,sort by year in descending order,0,0,4,0,0,30,,只有在albums里面有by years，但是没说清楚
,play 'test1' in recordings and set the loop mode to 'loop the current song',1,2,2,1,0,30,,
,"change the mode to ""Hip Hop""",1,4,4,1,0,30,,
,set the song to gapless playback,1,3,3,1,0,30,,
,"play the song ""test1"" in the tracks",1,1,1,1,0,30,,
,"Search for the song ""test1"" and play it",1,4,4,1,0,30,,
,,,,,#DIV/0!,,,,
VoiceRecoder,hide the recording notification,1,2,2,1,0,30,,
,change the theme color to white and save it,0,4,5,0.8,0,30,,
,open 'frequently asked questions',1,2,2,1,0,30,,
,set extension to mp3,1,3,3,1,0,30,,
,set bitrate to 96 kbps,1,3,3,1,0,30,,
, Start recording automatically after launching the app,0,0,2,0,0,30,,
,use player to play 'test2.m4a',1,2,2,1,0,30,,
,set audio source to microphone,1,3,3,1,0,30,,
,search for 'test1' and click on the 'test1.m4a',0,4,5,0.8,0,30,,
